id,name,description,address,locales,website,phone,lat,long,photo,new,secondhand,charity,open,checked,rgl,twitter,elweguardian,leytonstoner,londonist,cgc,londonbooks,tol,bookdealer,reading_matters,blog,topfloorflat,thebookguide,harringayonline,rttimes,bluestocking,bookseller,hornseyroad,hackneycitizen,peckhampeculiar,yelp,deptforddame,getwestlondon,dalemcgowan,dg,londonse1,greenwichphantom,londonstuff,hamhigh,andrewwhitehead,timeout,guardian,robaroundbooks,flickr,bibliophilicblogger,inews,spitalfieldslife,foodiefoodie,secentral,kenningtonrunoff,ft,foodiebugle,lauraashley,pandorian,tiredoflondon,bookloverslondon,abebooks,ianvisits,brockleycentral
30th-century-comics,30th Century Comics,Vintage comic and book shop.,"18 Lower Richmond Road, Putney, SW15 1JP","Putney, SW15",http://30thcenturycomics.co.uk/,020 8788 2052,51.467219,-0.21823445,https://www.flickr.com/photos/kake_pugh/34432259805/,unknown,true,false,true,May 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56a-infoshop,56a Infoshop,,"56 Crampton Street, SE17 3AE","Elephant and Castle, Walworth, SE17",,,51.490349,-0.100036,,unknown,unknown,false,true,July 2008,"https://london.randomness.org.uk/wiki.cgi?56a_Infoshop,_SE17_3AE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alice-through-the-looking-glass-cecil-court,Alice Through The Looking Glass,"First editions and rare illustrated editions relating to Lewis Carroll's Alice.  Located on <a href=""http://cecilcourt.co.uk/"">Cecil Court</a>, a small lane running between Charing Cross Road and St Martin's Lane with several other specialist/rare/antiquarian bookshops.","14 Cecil Court, Covent Garden, WC2N 4HE",,http://alicelooking.co.uk/,020 7836 8854,51.510747,-0.127826,https://www.flickr.com/photos/kake_pugh/30519769222/,,,,true,October 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alligators-mouth-richmond,The Alligator's Mouth,"Children's bookshop opened by former staff from the now-closed <a href=""lion-and-unicorn-bookshop.html"">Lion & Unicorn</a>.","2a Church Court, Richmond, TW9 1JL",,http://www.thealligatorsmouth.co.uk/,020 8948 6775,51.460545,-0.3040866,https://www.flickr.com/photos/kake_pugh/33814046704/,,,,true,May 2017,,AlligatorsMouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all-you-read-is-love-leytonstone,All You Read Is Love,"Bookshop, cafe, and bar.  Originally a pop-up, now permanent.","877 Leytonstone High Road, E11 1HR","E11, Leytonstone",http://www.allyoureadislove.com/,,51.570393,0.014117271,,unknown,unknown,false,true,,,AllYouReadLove,http://www.guardian-series.co.uk/news/11711953.Danish_siblings_bring_Scandinavian_book_cafe_to_Leytonstone/,http://www.leytonstoner.london/2015/02/23/read-love-really/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha-book-company-romford,Alpha Book Company,Cheap second-hand and reissued adults' and children's books.,"Romford Shopping Hall, 43 Market Place, Romford, RM1 3AB","RM1, Romford",,,51.579856,0.18220863,https://www.flickr.com/photos/kake_pugh/37425360562/,true,true,false,true,September 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
al-saqi-books-westbourne-grove,Al Saqi Books,They claim on their website to be the UK's largest Middle Eastern bookseller.,"26 Westbourne Grove, W2 5RH","Bayswater, W2, Westbourne Green, Westbourne Grove",http://www.alsaqibookshop.com/,,51.515648,-0.190136,https://www.flickr.com/photos/kake_pugh/9892381683/,unknown,unknown,false,true,September 2013,,,,,http://londonist.com/2009/06/biblio-text_al_saqi_bookshop.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-aid-highbury,Animal Aid & Advice,Charity bookshop.,"203 Blackstock Road, N5 9LL",,,,51.560064,-0.09847,https://www.flickr.com/photos/kake_pugh/9335713442/,unknown,true,true,true,July 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
any-amount-of-books,Any Amount of Books,,56 Charing Cross Road,,http://www.anyamountofbooks.com/,,51.512268,-0.128467,https://www.flickr.com/photos/ruudboy/1269876498/,false,true,false,true,April 2008,https://london.randomness.org.uk/wiki.cgi?Any_Amount_Of_Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-place-in-space-croydon,A Place In Space,"Comics and graphic novels.  It was previously across the road at number 101 (<a href=""http://www.flickr.com/photos/kake_pugh/6883401397/"">photo</a>), but moved to number 96 around 2012-2013.","96 Church Street, CR0 1RD",,http://stores.ebay.co.uk/A-PLACE-IN-SPACE,,51.373889,-0.104669,https://www.flickr.com/photos/kake_pugh/8479158457/,true,unknown,false,true,May 2016,,,,,,"http://croydon.randomness.org.uk/wiki.cgi?A_Place_In_Space,_101_Church_Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
