name,latitude,longitude
30th Century Comics,51.467219,-0.21823445
56a Infoshop,51.490349,-0.100036
Alice Through The Looking Glass,51.510747,-0.127826
The Alligator's Mouth,51.460545,-0.3040866
All You Read Is Love,51.570393,0.014117271
Alpha Book Company,51.579856,0.18220863
Al Saqi Books,51.515648,-0.190136
Animal Aid & Advice,51.560064,-0.09847
Any Amount of Books,51.512268,-0.128467
A Place In Space,51.373889,-0.104669
Archive Bookstore,51.521667,-0.167102
Arthur Probsthain,51.517921,-0.126815
Artwords,51.526207,-0.080917
Atlantis Bookshop,51.517597,-0.125227
The Bookshop At,51.476402,-0.18341133
Jo's Bookshop,51.63279,0.008497
Barnard's Bookshop,51.545675,-0.4800788
Barnes Bookshop,51.474792,-0.240583
Beaumont Travel Books,51.478619,0.026414
Beckenham Bookshop,51.409573,-0.02532
Belgravia Books,51.495122,-0.147989
Bernard Quaritch,51.509884,-0.15181799
Big Green Bookshop,51.592432,-0.10657851
Black Gull Books (Camden),51.541279,-0.146556
Black Gull Books (East Finchley),51.590736,-0.164945
Book Aid,51.421985,-0.035868377
Book and Kitchen,51.518492,-0.20431647
The Book and Record Bar,51.430623,-0.10207643
Bookartbookshop,51.527184,-0.083835
Bookcase,51.492725,-0.257857
Bookends,51.514393,-0.129583
Book Haus,51.494617,-0.156657
Bookmarks,51.517155,-0.127351
Books4Less,51.594256,-0.33477
Books and Bygones,51.37904,0.01766
Bookseller Crow On The Hill,51.417435,-0.082054
Books For Amnesty,51.49263,-0.233447
Books For Children,51.583983,-0.11614327
Books For Cooks,51.515827,-0.20565
The Book Shop (Loughton),51.645866,0.053172
The Book Shop (Hampton),51.416004,-0.372033
The Book Shop (Hackney),51.550953,-0.055382
Bookshop on the Heath,51.466827,0.007274
Bookstop,51.464409,-0.267835
Book Warehouse (Camden Town),51.538113,-0.1421084
Book Warehouse (Holborn),51.520667,-0.12290606
Book Warehouse (Islington),51.534484,-0.10530312
Book Warehouse (Notting Hill),51.509227,-0.1962001
Bookworm (Finchley Road),51.584315,-0.20001461
British Heart Foundation Books & Music Shop,51.435162,-0.128531
British Red Cross Bookshop,51.619297,-0.107503
Brixton Bookmongers,51.461426,-0.113833
Broadway Bookshop,51.536835,-0.061433
Crofton Books,51.455444,-0.036611751
Bryars & Bryars,51.510703,-0.127422
Calder Bookshop,51.502998,-0.106838
Church Street Bookshop,51.561974,-0.081153
Chener Books,51.460117,-0.075467
Chess & Bridge,51.517923,-0.153919
Children's Bookshop (Muswell Hill),51.590057,-0.146813
Chorleywood Bookshop,51.65512,-0.52173
Claire de Rouen Books,51.515011,-0.13006394
Clapham Books,51.462405,-0.14025633
Classic Library,51.480328,-0.18533
Collinge and Clark,51.526455,-0.125045
CT Pocket,51.479225,-0.025894
Donlon Books (Hackney),51.537629,-0.061104342
Donlon Books (Soho),51.5123,-0.13891254
Dulwich Books,51.436676,-0.090444
Dulwich Village Books,51.451534,-0.084522
Brick Lane Bookshop,51.521683,-0.071497
Burley Fisher Books,51.541536,-0.076033518
European Bookshop,51.493176,-0.181575
Faction Bookshop,51.455556,0.011987194
Falconwood Transport and Military Bookshop,51.456776,0.094414
The Folio Society,51.518774,-0.11753802
Forbidden Planet (Croydon),51.37330104,-0.102710869
Forbidden Planet (Shaftesbury Avenue),51.515205,-0.127265
Fosters Bookshop,51.492378,-0.257106
Freedom Bookshop,51.515953,-0.070424
Gay's The Word,51.525154,-0.125077
G Heywood Hill Ltd,51.506985,-0.146567
Goldsboro Books,51.510686,-0.128129
Gosh,51.512836,-0.134239
Greenwich Book Time,51.47946,-0.010091409
Guanghwa Books,51.51234,-0.13080288
Halcyon Books (Lee),51.458519,0.002965584
Hatchards (Piccadilly),51.508549,-0.137984
Hatchards (St Pancras),51.531428,-0.126134
Hellenic Bookservice,51.554713,-0.140129
Henry Pordes Books,51.512348,-0.128531
Henry Stokes and Co,51.494038,-0.15132
